grafana  | logger=migrator t=2026-03-15T12:18:53.966424585Z level=info msg="Executing migration" id="alter dashboard.data to mediumtext v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.966448473Z level=info msg="Migration successfully executed" id="alter dashboard.data to mediumtext v1" duration=22.124µs
grafana  | logger=migrator t=2026-03-15T12:18:53.971543046Z level=info msg="Executing migration" id="Add column updated_by in dashboard - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.972330527Z level=info msg="Migration successfully executed" id="Add column updated_by in dashboard - v2" duration=787.287µs
grafana  | logger=migrator t=2026-03-15T12:18:53.977596015Z level=info msg="Executing migration" id="Add column created_by in dashboard - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.97839979Z level=info msg="Migration successfully executed" id="Add column created_by in dashboard - v2" duration=803.449µs
grafana  | logger=migrator t=2026-03-15T12:18:53.983536344Z level=info msg="Executing migration" id="Add column gnetId in dashboard"
grafana  | logger=migrator t=2026-03-15T12:18:53.984309209Z level=info msg="Migration successfully executed" id="Add column gnetId in dashboard" duration=772.76µs
grafana  | logger=migrator t=2026-03-15T12:18:53.98955755Z level=info msg="Executing migration" id="Add index for gnetId in dashboard"
grafana  | logger=migrator t=2026-03-15T12:18:53.989886818Z level=info msg="Migration successfully executed" id="Add index for gnetId in dashboard" duration=329.401µs
grafana  | logger=migrator t=2026-03-15T12:18:53.995207363Z level=info msg="Executing migration" id="Add column plugin_id in dashboard"
grafana  | logger=migrator t=2026-03-15T12:18:53.996023708Z level=info msg="Migration successfully executed" id="Add column plugin_id in dashboard" duration=815.881µs
grafana  | logger=migrator t=2026-03-15T12:18:54.000996512Z level=info msg="Executing migration" id="Add index for plugin_id in dashboard"
grafana  | logger=migrator t=2026-03-15T12:18:54.001343611Z level=info msg="Migration successfully executed" id="Add index for plugin_id in dashboard" duration=346.78µs
grafana  | logger=migrator t=2026-03-15T12:18:54.006462028Z level=info msg="Executing migration" id="Add index for dashboard_id in dashboard_tag"
grafana  | logger=migrator t=2026-03-15T12:18:54.006831008Z level=info msg="Migration successfully executed" id="Add index for dashboard_id in dashboard_tag" duration=368.95µs
grafana  | logger=migrator t=2026-03-15T12:18:54.012280164Z level=info msg="Executing migration" id="Update dashboard table charset"
grafana  | logger=migrator t=2026-03-15T12:18:54.01231499Z level=info msg="Migration successfully executed" id="Update dashboard table charset" duration=35.554µs
